"&hyphen;"			"-",
"&supe;"			        "&#x02287;",
"&suphsol;"		            "&#x02283;&#x0002F;",
"&swarr;"			        "&#x02199;",
"&szlig;"			        "&#x000DF;",
"&tau;"			            "&#x003C4;",
"&tcaron;"		            "&#x00165;",
"&Tcaron;"		            "&#x00164;",
"&Tcedil;"		            "&#x00162;",
"&tcedil;"		            "&#x00163;",
"&Tcy;"			            "&#x00422;",
"&tcy;"			            "&#x00442;",
"&Tgr;"			            "&#x003A4;",
"&there4;"		            "&#x02234;",
"&theta;"			        "&#x003B8;",
"&Theta;"			        "&#x00398;",
"&THORN;"			        "&#x000DE;",
"&thorn;"			        "&#x000FE;",
"&tilde;"			        "&#x002DC;",
"&times;"			        "&#x000D7;",
"&trade;"			        "&#x02122;",
"&TRADE;"			        "&#x02122;",
"&TScy;"			        "&#x00426;",
"&tscy;"			        "&#x00446;",
"&TSHcy;"			        "&#x0040B;",
"&tshcy;"			        "&#x0045B;",
"&Tstrok;"		            "&#x00166;",
"&tstrok;"		            "&#x00167;",
"&Uacgr;"			        "&#x0038E;",
"&uacgr;"			        "&#x003CD;",
"&Uacute;"		            "&#x000DA;",
"&uacute;"		            "&#x000FA;",
"&uarr;"			        "&#x02191;",
"&Ubrcy;"			        "&#x0040E;",
"&ubrcy;"			        "&#x0045E;",
"&Ubreve;"		            "&#x0016C;",
"&ubreve;"		            "&#x0016D;",
"&ucirc;"			        "&#x000FB;",
"&Ucirc;"			        "&#x000DB;",
"&Ucy;"			            "&#x00423;",
"&ucy;"			            "&#x00443;",
"&udblac;"		            "&#x00171;",
"&Udblac;"		            "&#x00170;",
"&udiagr;"		            "&#x003B0;",
"&udigr;"			        "&#x003CB;",
"&Udigr;"			        "&#x003AB;",
"&Ugr;"			            "&#x003A5;",
"&Ugrave;"		            "&#x000D9;",
"&ugrave;"		            "&#x000F9;",
"&uhblk;"			        "&#x02580;",
"&umacr;"			        "&#x0016B;",
"&Umacr;"			        "&#x0016A;",
"&uml;"			            "&#x000A8;",
"&UnderBrace;"		        "&#x0FE38;",
"&UnderParenthesis;"	    "&#x0FE36;",
"&uogon;"			        "&#x00173;",
"&Uogon;"			        "&#x00172;",
"&upsi;"			        "&#x003C5;",
