"&hyphen;"			"-",
"&NotSucceedsTilde;"				"&#x0227F;&#x00338;",
"&NotSuperset;"				"&#x02283;&#x020D2;",
"&NotSupersetEqual;"				"&#x02289;",
"&NotTilde;"				"&#x02241;",
"&NotTildeEqual;"				"&#x02244;",
"&NotTildeFullEqual;"				"&#x02247;",
"&NotTildeTilde;"				"&#x02249;",
"&NotVerticalBar;"				"&#x02224;",
"&npar;"				"&#x02226;",
"&nparallel;"				"&#x02226;",
"&nparsl;"				"&#x02225;&#x0FE00;&#x020E5;",
"&npart;"				"&#x02202;&#x00338;",
"&npolint;"				"&#x02A14;",
"&npr;"				"&#x02280;",
"&nprcue;"				"&#x022E0;",
"&npre;"				"&#x02AAF;&#x00338;",
"&nprec;"				"&#x02280;",
"&npreceq;"				"&#x02AAF;&#x00338;",
"&nrarr;"				"&#x0219B;",
"&nrArr;"				"&#x021CF;",
"&nrarrc;"				"&#x02933;&#x00338;",
"&nrarrw;"				"&#x0219D;&#x00338;",
"&nRightarrow;"				"&#x021CF;",
"&nrightarrow;"				"&#x0219B;",
"&nrtri;"				"&#x022EB;",
"&nrtrie;"				"&#x022ED;",
"&nsc;"				"&#x02281;",
"&nsccue;"				"&#x022E1;",
"&nsce;"				"&#x02AB0;&#x00338;",
"&nscr;"				"&#x1D4C3;",
"&Nscr;"				"&#x1D4A9;",
"&nshortmid;"				"&#x02224;",
"&nshortparallel;"				"&#x02226;",
"&nsim;"				"&#x02241;",
"&nsime;"				"&#x02244;",
"&nsimeq;"				"&#x02244;",
"&nsmid;"				"&#x02224;&#x0FE00;",
"&nspar;"				"&#x02226;&#x0FE00;",
"&nsqsube;"				"&#x022E2;",
"&nsqsupe;"				"&#x022E3;",
"&nsub;"				"&#x02284;",
"&nsube;"				"&#x02288;",
"&nsubset;"				"&#x02282;&#x020D2;",
"&nsubseteq;"				"&#x02288;",
"&nsubseteqq;"				"&#x02AC5;&#x00338;",
"&nsucc;"				"&#x02281;",
"&nsucceq;"				"&#x02AB0;&#x00338;",
"&nsup;"				"&#x02285;",
"&nsupe;"				"&#x02289;",
"&nsupset;"				"&#x02283;&#x020D2;",
"&nsupseteq;"				"&#x02289;",
"&nsupseteqq;"				"&#x02AC6;&#x00338;",
"&ntgl;"				"&#x02279;",
"&ntlg;"				"&#x02278;",
"&ntriangleleft;"				"&#x022EA;",
"&ntrianglelefteq;"				"&#x022EC;",
"&ntriangleright;"				"&#x022EB;",
"&ntrianglerighteq;"				"&#x022ED;",
"&numsp;"				"&#x02007;",
"&nvap;"				"&#x02249;&#x00338;",
"&nVdash;"				"&#x022AE;",
"&nvdash;"				"&#x022AC;",
"&nVDash;"				"&#x022AF;",
"&nvDash;"				"&#x022AD;",
"&nvinfin;"				"&#x029DE;",
"&nvltrie;"				"&#x022EC;&#x00338;",
"&nvrtrie;"				"&#x022ED;&#x00338;",
"&nvsim;"				"&#x02241;&#x00338;",
"&nwarhk;"				"&#x02923;",
"&nwArr;"				"&#x021D6;",
"&nwarrow;"				"&#x02196;",
"&nwnear;"				"&#x02927;",
"&oast;"				"&#x0229B;",
"&ocir;"				"&#x0229A;",
"&odash;"				"&#x0229D;",
"&odiv;"				"&#x02A38;",
"&odsold;"				"&#x029BC;",
"&ofcir;"				"&#x029BF;",
"&Ofr;"				"&#x1D512;",
"&ofr;"				"&#x1D52C;",
"&ogt;"				"&#x029C1;",
"&ohbar;"				"&#x029B5;",
"&oint;"				"&#x0222E;",
"&olarr;"				"&#x021BA;",
"&olcir;"				"&#x029BE;",
"&olcross;"				"&#x029BB;",
"&olt;"				"&#x029C0;",
"&omid;"				"&#x029B6;",
"&ominus;"				"&#x02296;",
"&oopf;"				"&#x1D560;",
"&Oopf;"				"&#x1D546;",
"&opar;"				"&#x029B7;",
"&OpenCurlyDoubleQuote;"				"&#x0201C;",
"&OpenCurlyQuote;"				"&#x02018;",
"&operp;"				"&#x029B9;",
"&Or;"				"&#x02A54;",
"&orarr;"				"&#x021BB;",
"&ord;"				"&#x02A5D;",
"&orderof;"				"&#x02134;",
"&origof;"				"&#x022B6;",
"&oror;"				"&#x02A56;",
"&orslope;"				"&#x02A57;",
"&orv;"				"&#x02A5B;",
"&oS;"				"&#x024C8;",
"&Oscr;"				"&#x1D4AA;",
"&oscr;"				"&#x02134;",
"&osol;"				"&#x02298;",
"&Otimes;"				"&#x02A37;",
"&otimes;"				"&#x02297;",
"&otimesas;"				"&#x02A36;",
"&ovbar;"				"&#x0233D;",
"&OverBar;"				"&#x0305;",
"&OverBracket;"				"&#x023B4;",
"&parallel;"				"&#x02225;",
"&parsim;"				"&#x02AF3;",
"&PartialD;"				"&#x02202;",
"&pertenk;"				"&#x02031;",
"&pfr;"				"&#x1D52D;",
"&Pfr;"				"&#x1D513;",
"&phiv;"				"&#x003D5;",
"&pitchfork;"				"&#x022D4;",
"&piv;"				"&#x003D6;",
"&planck;"				"&#x0210F;&#x0FE00;",
"&planckh;"				"&#x0210E;",
"&plankv;"				"&#x0210F;",
"&plusacir;"				"&#x02A23;",
"&plusb;"				"&#x0229E;",
"&pluscir;"				"&#x02A22;",
"&plusdo;"				"&#x02214;",
"&plusdu;"				"&#x02A25;",
"&pluse;"				"&#x02A72;",
"&PlusMinus;"				"&#x000B1;",
"&plussim;"				"&#x02A26;",
"&plustwo;"				"&#x02A27;",
"&pm;"				"&#x000B1;",
"&pointint;"				"&#x02A15;",
"&Popf;"				"&#x02119;",
"&popf;"				"&#x1D561;",
"&pr;"				"&#x0227A;",
"&Pr;"				"&#x02ABB;",
"&prap;"				"&#x0227E;",
"&prcue;"				"&#x0227C;",
"&pre;"				"&#x02AAF;",
"&prec;"				"&#x0227A;",
"&precapprox;"				"&#x02AB7;",
"&preccurlyeq;"				"&#x0227C;",
"&Precedes;"				"&#x0227A;",
"&PrecedesEqual;"				"&#x02AAF;",
"&PrecedesSlantEqual;"				"&#x0227C;",
"&PrecedesTilde;"				"&#x0227E;",
"&preceq;"				"&#x02AAF;",
"&precnapprox;"				"&#x02AB9;",
"&precneqq;"				"&#x02AB5;",
"&precnsim;"				"&#x022E8;",
"&precsim;"				"&#x0227E;",
"&prnap;"				"&#x022E8;",
"&prnE;"				"&#x02AB5;",
"&profalar;"				"&#x0232E;",
"&profsurf;"				"&#x02313;",
"&Proportion;"				"&#x02237;",
"&Proportional;"				"&#x0221D;",
"&propto;"				"&#x0221D;",
"&prurel;"				"&#x022B0;",
"&pscr;"				"&#x1D4C5;",
"&Pscr;"				"&#x1D4AB;",
"&puncsp;"				"&#x02008;",
"&qfr;"				"&#x1D52E;",
"&Qfr;"				"&#x1D514;",
"&qint;"				"&#x02A0C;",
"&qopf;"				"&#x1D562;",
"&Qopf;"				"&#x0211A;",
"&qprime;"				"&#x02057;",
"&Qscr;"				"&#x1D4AC;",
"&qscr;"				"&#x1D4C6;",
"&quatint;"				"&#x02A16;",
"&questeq;"				"&#x0225F;",
"&rAarr;"				"&#x021DB;",
"&race;"				"&#x029DA;",
"&raemptyv;"				"&#x029B3;",
"&rang;"				"&#x0232A;",
"&rangd;"				"&#x02992;",
"&range;"				"&#x029A5;",
"&rangle;"				"&#x0232A;",
"&Rarr;"				"&#x021A0;",
"&rarrap;"				"&#x02975;",
"&rarrb;"				"&#x021E5;",
"&rarrbfs;"				"&#x02920;",
"&rarrc;"				"&#x02933;",
"&rarrfs;"				"&#x0291E;",
"&rarrhk;"				"&#x021AA;",
"&rarrlp;"				"&#x021AC;",
"&rarrpl;"				"&#x02945;",
"&rarrsim;"				"&#x02974;",
"&Rarrtl;"				"&#x02916;",
"&rarrtl;"				"&#x021A3;",
"&rarrw;"				"&#x0219D;",
"&rAtail;"				"&#x0291C;",
"&rbarr;"				"&#x0290D;",
"&RBarr;"				"&#x02910;",
"&rBarr;"				"&#x0290F;",
"&rbrace;"				"&#x0007D;",
"&rbrack;"				"&#x0005D;",
"&rbrke;"				"&#x0298C;",
"&rbrksld;"				"&#x0298E;",
"&rbrkslu;"				"&#x02990;",
"&rceil;"				"&#x02309;",
"&rdca;"				"&#x02937;",
"&rdldhar;"				"&#x02969;",
"&rdsh;"				"&#x021B3;",
"&Re;"				"&#x0211C;",
"&real;"				"&#x211C;",
"&realpart;"				"&#x0211C;",
"&rect;"				"&#x025AD;",
"&ReverseElement;"				"&#x0220B;",
"&ReverseEquilibrium;"				"&#x021CB;",
"&ReverseUpEquilibrium;"				"&#x0296F;",
"&rfisht;"				"&#x0297D;",
"&rfloor;"				"&#x0230B;",
"&rfr;"				"&#x1D52F;",
"&Rfr;"				"&#x0211C;",
"&rHar;"				"&#x02964;",
"&rhard;"				"&#x021C1;",
"&rharu;"				"&#x021C0;",
"&rharul;"				"&#x0296C;",
"&rhov;"				"&#x003F1;",
"&RightAngleBracket;"				"&#x0232A;",
"&rightarrow;"				"&#x02192;",
"&Rightarrow;"				"&#x021D2;",
"&RightArrow;"				"&#x02192;",
"&RightArrowBar;"				"&#x021E5;",
"&RightArrowLeftArrow;"				"&#x021C4;",
"&rightarrowtail;"				"&#x021A3;",
"&RightCeiling;"				"&#x02309;",
"&RightDownTeeVector;"				"&#x0295D;",
"&RightDownVector;"				"&#x021C2;",
"&RightDownVectorBar;"				"&#x02955;",
"&RightFloor;"				"&#x0230B;",
"&rightharpoondown;"				"&#x021C1;",
"&rightharpoonup;"				"&#x021C0;",
"&rightleftarrows;"				"&#x021C4;",
"&rightleftharpoons;"				"&#x021CC;",
"&rightrightarrows;"				"&#x021C9;",
"&rightsquigarrow;"				"&#x0219D;",
"&RightTee;"				"&#x022A2;",
"&RightTeeArrow;"				"&#x021A6;",
"&RightTeeVector;"				"&#x0295B;",
"&rightthreetimes;"				"&#x022CC;",
"&RightTriangle;"				"&#x022B3;",
"&RightTriangleBar;"				"&#x029D0;",
"&RightTriangleEqual;"				"&#x022B5;",
"&RightUpDownVector;"				"&#x0294F;",
"&RightUpTeeVector;"				"&#x0295C;",
"&RightUpVector;"				"&#x021BE;",
"&RightUpVectorBar;"				"&#x02954;",
"&RightVector;"				"&#x021C0;",
"&RightVectorBar;"				"&#x02953;",
"&risingdotseq;"				"&#x02253;",
"&rlarr;"				"&#x021C4;",
"&rlhar;"				"&#x021CC;",
"&rmoust;"				"&#x023B1;",
"&rmoustache;"				"&#x023B1;",
"&rnmid;"				"&#x02AEE;",
"&roang;"				"&#x0F559;",
"&roarr;"				"&#x021FE;",
"&Ropf;"				"&#x0211D;",
"&ropf;"				"&#x1D563;",
"&roplus;"				"&#x02A2E;",
"&rotimes;"				"&#x02A35;",
"&RoundImplies;"				"&#x02970;",
"&rpargt;"				"&#x02994;",
"&rppolint;"				"&#x02A12;",
"&rrarr;"				"&#x021C9;",
"&Rrightarrow;"				"&#x021DB;",
"&Rscr;"				"&#x0211B;",
"&rscr;"				"&#x1D4C7;",
"&Rsh;"				"&#x021B1;",
"&rsh;"				"&#x021B1;",
"&rthree;"				"&#x022CC;",
"&rtimes;"				"&#x022CA;",
"&rtri;"				"&#x025B9;",
"&rtrie;"				"&#x022B5;",
"&rtrif;"				"&#x025B8;",
"&rtriltri;"				"&#x029CE;",
"&RuleDelayed;"				"&#x029F4;",
"&ruluhar;"				"&#x02968;",
"&rx;"				"&#x0211E;",
"&sc;"				"&#x0227B;",
"&Sc;"				"&#x02ABC;",
"&scap;"				"&#x0227F;",
"&sccue;"				"&#x0227D;",
"&scnap;"				"&#x022E9;",
"&scnE;"				"&#x02AB6;",
"&scpolint;"				"&#x02A13;",
"&sdot;"				"&#x022C5;",
"&sdotb;"				"&#x022A1;",
"&sdote;"				"&#x02A66;",
"&searhk;"				"&#x02925;",
"&seArr;"				"&#x021D8;",
"&searrow;"				"&#x02198;",
"&seswar;"				"&#x02929;",
"&setminus;"				"&#x02216;",
"&setmn;"				"&#x02216;",
"&sext;"				"&#x02736;",
"&Sfr;"				"&#x1D516;",
"&sfr;"				"&#x1D530;",
"&ShortDownArrow;"				"&#x02304;&#x0FE00;",
"&ShortLeftArrow;"				"&#x02190;",
"&shortmid;"				"&#x02223;",
"&shortparallel;"				"&#x02225;",
"&ShortRightArrow;"				"&#x02192;",
"&ShortUpArrow;"				"&#x02303;&#x0FE00;",
"&shy;"				"&#x000AD;",
"&simdot;"				"&#x02A6A;",
"&sime;"				"&#x02243;",
"&simeq;"				"&#x02243;",
"&simg;"				"&#x02A9E;",
"&simgE;"				"&#x02AA0;",
"&siml;"				"&#x02A9D;",
"&simlE;"				"&#x02A9F;",
"&simne;"				"&#x02246;",
"&simplus;"				"&#x02A24;",
"&simrarr;"				"&#x02972;",
"&slarr;"				"&#x02190;&#x0FE00;",
"&SmallCircle;"				"&#x02218;",
"&smallsetminus;"				"&#x02216;",
"&smashp;"				"&#x02A33;",
"&smeparsl;"				"&#x029E4;",
"&smid;"				"&#x02223;&#x0FE00;",
"&smile;"				"&#x02323;",
"&smt;"				"&#x02AAA;",
"&smte;"				"&#x02AAC;",
"&smtes;"				"&#x02AAC;&#x0FE00;",
"&solb;"				"&#x029C4;",
"&solbar;"				"&#x0233F;",
"&Sopf;"				"&#x1D54A;",
"&sopf;"				"&#x1D564;",
"&spar;"				"&#x02225;&#x0FE00;",
"&sqcap;"				"&#x02293;",
"&sqcaps;"				"&#x02293;&#x0FE00;",
"&sqcup;"				"&#x02294;",
"&sqcups;"				"&#x02294;&#x0FE00;",
"&Sqrt;"				"&#x0221A;",
"&sqsub;"				"&#x0228F;",
"&sqsube;"				"&#x02291;",
"&sqsubset;"				"&#x0228F;",
"&sqsubseteq;"				"&#x02291;",
"&sqsup;"				"&#x02290;",
"&sqsupe;"				"&#x02292;",
"&sqsupset;"				"&#x02290;",
"&sqsupseteq;"				"&#x02292;",
"&Square;"				"&#x025A1;",
"&SquareIntersection;"				"&#x02293;",
"&SquareSubset;"				"&#x0228F;",
"&SquareSubsetEqual;"				"&#x02291;",
"&SquareSuperset;"				"&#x02290;",
"&SquareSupersetEqual;"				"&#x02292;",
"&SquareUnion;"				"&#x02294;",
"&squf;"				"&#x025AA;",
"&srarr;"				"&#x02192;&#x0FE00;",
"&Sscr;"				"&#x1D4AE;",
"&sscr;"				"&#x1D4C8;",
"&ssetmn;"				"&#x02216;&#x0FE00;",
"&Star;"				"&#x022C6;",
"&star;"				"&#x022C6;",
"&straightepsilon;"				"&#x003F5;",
"&straightphi;"				"&#x003D5;",
"&Sub;"				"&#x022D0;",
"&subdot;"				"&#x02ABD;",
"&subedot;"				"&#x02AC3;",
"&submult;"				"&#x02AC1;",
"&subne;"				"&#x0228A;",
"&subplus;"				"&#x02ABF;",
"&subrarr;"				"&#x02979;",
"&Subset;"				"&#x022D0;",
"&subset;"				"&#x02282;",
"&subseteq;"				"&#x02286;",
"&subseteqq;"				"&#x02AC5;",
"&SubsetEqual;"				"&#x02286;",
"&subsetneq;"				"&#x0228A;",
"&subsetneqq;"				"&#x02ACB;",
"&subsim;"				"&#x02AC7;",
"&subsub;"				"&#x02AD5;",
"&subsup;"				"&#x02AD3;",
"&succ;"				"&#x0227B;",
"&succapprox;"				"&#x02AB8;",
"&succcurlyeq;"				"&#x0227D;",
"&Succeeds;"				"&#x0227B;",
"&SucceedsEqual;"				"&#x02AB0;",
"&SucceedsSlantEqual;"				"&#x0227D;",
"&SucceedsTilde;"				"&#x0227F;",
"&succeq;"				"&#x02AB0;",
"&succnapprox;"				"&#x02ABA;",
"&succneqq;"				"&#x02AB6;",
"&succnsim;"				"&#x022E9;",
"&succsim;"				"&#x0227F;",
"&Sum;"				"&#x02211;",
"&Sup;"				"&#x022D1;",
"&supdot;"				"&#x02ABE;",
"&supdsub;"				"&#x02AD8;",
"&supedot;"				"&#x02AC4;",
"&Superset;"				"&#x02283;",
"&SupersetEqual;"				"&#x02287;",
"&suphsub;"				"&#x02AD7;",
"&suplarr;"				"&#x0297B;",
"&supmult;"				"&#x02AC2;",
"&supne;"				"&#x0228B;",
"&supplus;"				"&#x02AC0;",
"&Supset;"				"&#x022D1;",
"&supset;"				"&#x02283;",
"&supseteq;"				"&#x02287;",
"&supseteqq;"				"&#x02AC6;",
"&supsetneq;"				"&#x0228B;",
"&supsetneqq;"				"&#x02ACC;",
"&supsim;"				"&#x02AC8;",
"&supsub;"				"&#x02AD4;",
"&supsup;"				"&#x02AD6;",
"&swarhk;"				"&#x02926;",
"&swArr;"				"&#x021D9;",
"&swarrow;"				"&#x02199;",
"&swnwar;"				"&#x0292A;",
"&Tab;"				"&#x00009;",
"&target;"				"&#x02316;",
"&tdot;"				"&#x020DB;",
"&telrec;"				"&#x02315;",
"&Tfr;"				"&#x1D517;",
"&tfr;"				"&#x1D531;",
"&therefore;"				"&#x02234;",
"&Therefore;"				"&#x02234;",
"&thetav;"				"&#x003D1;",
"&thickapprox;"				"&#x02248;&#x0FE00;",
"&thicksim;"				"&#x0223C;&#x0FE00;",
"&ThickSpace;"				"&#x02009;&#x0200A;&#x0200A;",
"&thinsp;"				"&#x02009;",
"&ThinSpace;"				"&#x02009;",
"&Tilde;"				"&#x0223C;",
"&TildeEqual;"				"&#x02243;",
"&TildeFullEqual;"				"&#x02245;",
"&TildeTilde;"				"&#x02248;",
"&timesb;"				"&#x022A0;",
"&timesbar;"				"&#x02A31;",
"&timesd;"				"&#x02A30;",
"&tint;"				"&#x0222D;",
"&toea;"				"&#x02928;",
"&top;"				"&#x022A4;",
"&topbot;"				"&#x02336;",
"&topcir;"				"&#x02AF1;",
"&topf;"				"&#x1D565;",
"&Topf;"				"&#x1D54B;",
"&topfork;"				"&#x02ADA;",
"&tosa;"				"&#x02929;",
"&tprime;"				"&#x02034;",
"&triangle;"				"&#x025B5;",
"&triangledown;"				"&#x025BF;",
"&triangleleft;"				"&#x025C3;",
"&trianglelefteq;"				"&#x022B4;",
"&triangleq;"				"&#x0225C;",
"&triangleright;"				"&#x025B9;",
"&trianglerighteq;"				"&#x022B5;",
"&tridot;"				"&#x025EC;",
"&trie;"				"&#x0225C;",
"&triminus;"				"&#x02A3A;",
"&TripleDot;"				"<:Advent3B2:missing>",
"&triplus;"				"&#x02A39;",
"&trisb;"				"&#x029CD;",
"&tritime;"				"&#x02A3B;",
"&tscr;"				"&#x1D4C9;",
"&Tscr;"				"&#x1D4AF;",
"&twixt;"				"&#x0226C;",
"&twoheadleftarrow;"				"&#x0219E;",
"&twoheadrightarrow;"				"&#x021A0;",
"&uArr;"				"&#x021D1;",
"&Uarr;"				"&#x0219F;",
"&Uarrocir;"				"&#x02949;",
"&udarr;"				"&#x021C5;",
"&udhar;"				"&#x0296E;",
"&ufr;"				"&#x1D532;",
"&Ufr;"				"&#x1D518;",
"&ufisht;"				"&#x0297E;",
"&uHar;"				"&#x02963;",
"&uharl;"				"&#x021BF;",
"&uharr;"				"&#x021BE;",
"&ulcorn;"				"&#x0231C;",
"&ulcorner;"				"&#x0231C;",
"&ulcrop;"				"&#x0230F;",
"&ultri;"				"&#x025F8;",
"&UnderBar;"				"&#x00332;",
"&UnderBracket;"				"&#x023B5;",
"&Union;"				"&#x022C3;",
"&UnionPlus;"				"&#x0228E;",
"&uopf;"				"&#x1D566;",
"&Uopf;"				"&#x1D54C;",
"&UpArrow;"				"&#x02191;",
"&uparrow;"				"&#x02191;",
"&Uparrow;"				"&#x021D1;",
"&UpArrowBar;"				"&#x02912;",
"&UpArrowDownArrow;"				"&#x021C5;",
"&UpDownArrow;"				"&#x02195;",
"&updownarrow;"				"&#x02195;",
"&Updownarrow;"				"&#x021D5;",
"&UpEquilibrium;"				"&#x0296E;",
"&upharpoonleft;"				"&#x021BF;",
"&upharpoonright;"				"&#x021BE;",
"&uplus;"				"&#x0228E;",
"&UpperLeftArrow;"				"&#x02196;",
"&UpperRightArrow;"				"&#x02197;",
"&Upsi;"				"&#x003D2;",
"&UpTee;"				"&#x022A5;",
"&UpTeeArrow;"				"&#x021A5;",
"&upuparrows;"				"&#x021C8;",
"&urcorn;"				"&#x0231D;",
"&urcorner;"				"&#x0231D;",
"&urcrop;"				"&#x0230E;",
"&urtri;"				"&#x025F9;",
"&Uscr;"				"&#x1D4B0;",
"&uscr;"				"&#x1D4CA;",
"&utdot;"				"&#x022F0;",
"&utri;"				"&#x025B5;",
"&utrif;"				"&#x025B4;",
"&uuarr;"				"&#x021C8;",
"&uwangle;"				"&#x029A7;",
"&vangrt;"				"&#x022BE;",
"&varepsilon;"				"&#x003B5;",
"&varkappa;"				"&#x003F0;",
"&varnothing;"				"&#x02205;",
"&varphi;"				"&#x003C6;",
"&varpi;"				"&#x003D6;",
"&varpropto;"				"&#x0221D;",
"&vArr;"				"&#x021D5;",
"&varrho;"				"&#x003F1;",
"&varsigma;"				"&#x003C2;",
"&varsubsetneq;"				"&#x0228A;&#x0FE00;",
"&varsubsetneqq;"				"&#x02ACB;&#x0FE00;",
"&varsupsetneq;"				"&#x0228B;&#x0FE00;",
"&varsupsetneqq;"				"&#x02ACC;&#x0FE00;",
"&vartheta;"				"&#x003D1;",
"&vartriangleleft;"				"&#x022B2;",
"&vartriangleright;"				"&#x022B3;",
"&Vbar;"				"&#x02AEB;",
"&vBar;"				"&#x02AE8;",
"&vBarv;"				"&#x02AE9;",
"&vDash;"				"&#x022A8;",
"&VDash;"				"&#x022AB;",
"&vdash;"				"&#x022A2;",
"&Vdash;"				"&#x022A9;",
"&Vdashl;"				"&#x02AE6;",
"&vee;"				"&#x02228;",
"&Vee;"				"&#x022C1;",
"&veebar;"				"&#x022BB;",
"&veeeq;"				"&#x0225A;",
"&vellip;"				"&#x022EE;",
"&Verbar;"				"&#x02016;",
"&Vert;"				"&#x02016;",
"&vert;"				"&#x0007C;",
"&VerticalBar;"				"&#x02223;",
"&VerticalSeparator;"				"&#x02758;",
"&VerticalTilde;"				"&#x02240;",
"&VeryThinSpace;"				"&#x0200A;",
"&vfr;"				"&#x1D533;",
"&Vfr;"				"&#x1D519;",
"&vltri;"				"&#x022B2;",
"&Vopf;"				"&#x1D54D;",
"&vopf;"				"&#x1D567;",
"&vrtri;"				"&#x022B3;",
"&Vscr;"				"&#x1D4B1;",
"&vscr;"				"&#x1D4CB;",
"&vsubnE;"				"&#x0228A;&#x0FE00;",
"&vsupne;"				"&#x0228B;&#x0FE00;",
"&Vvdash;"				"&#x022AA;",
"&vzigzag;"				"&#x0299A;",
"&wedbar;"				"&#x02A5F;",
"&wedge;"				"&#x02227;",
"&Wedge;"				"&#x022C0;",
"&wedgeq;"				"&#x02259;",
"&weierp;"				"&#x02118;",
"&Wfr;"				"&#x1D51A;",
"&wfr;"				"&#x1D534;",
"&wopf;"				"&#x1D568;",
"&Wopf;"				"&#x1D54E;",
"&wp;"				"&#x02118;",
"&wr;"				"&#x02240;",
"&wreath;"				"&#x02240;",
"&Wscr;"				"&#x1D4B2;",
"&wscr;"				"&#x1D4CC;",
"&xcap;"				"&#x022C2;",
"&xcup;"				"&#x022C3;",
"&xfr;"				"&#x1D535;",
"&Xfr;"				"&#x1D51B;",
"&xharr;"				"&#x0F578;",
"&xhArr;"				"&#x0F57B;",
"&xlarr;"				"&#x0F576;",
"&xlArr;"				"&#x0F579;",
"&xmap;"				"&#x0F57D;",
"&xnis;"				"&#x022FB;",
"&xopf;"				"&#x1D569;",
"&Xopf;"				"&#x1D54F;",
"&xrarr;"				"&#x0F577;",
"&xrArr;"				"&#x0F57A;",
"&xscr;"				"&#x1D4CD;",
"&Xscr;"				"&#x1D4B3;",
"&xvee;"				"&#x022C1;",
"&xwedge;"				"&#x022C0;",
"&yfr;"				"&#x1D536;",
"&Yfr;"				"&#x1D51C;",
"&yopf;"				"&#x1D56A;",
"&Yopf;"				"&#x1D550;",
"&yscr;"				"&#x1D4CE;",
"&Yscr;"				"&#x1D4B4;",
"&zeetrf;"			"&#x02128;",
"&ZeroWidthSpace;"				"<:Advent3B2:missing>",
"&zfr;"				"&#x1D537;",
"&Zfr;"				"&#x2128;",
"&zigrarr;"				"&#x21DD;",
"&zopf;"				"<:Advent3B2:missing>",
"&Zopf;"				"&#x2124;",
"&zscr;"				"<:Advent3B2:missing>",
"&Zscr;"				"&#58681;",
"&emsp;"				"&#x0203;",
"&rarro;"				"&#x20D7;",
"&hyphen;"				"&#x002D;"
"&parl0;"				"&#x0028;"
"&parl1;"				"&#x0028;"
"&parl2;"				"&#x0028;"
"&parl3;"				"&#x0028;"
"&parl4;"				"&#x0028;"
"&parr0;"				"&#x0029;"
"&parr1;"				"&#x0029;"
"&parr2;"				"&#x0029;"
"&parr3;"				"&#x0029;"
"&parr4;"				"&#x0029;"
"&angl0;"				"&#x2329;"
"&angl1;"				"&#x2329;"
"&angl2;"				"&#x2329;"
"&angl3;"				"&#x2329;"
"&angl4;"				"&#x2329;"
"&angr0;"				"&#x232A;"
"&angr1;"				"&#x232A;"
"&angr2;"				"&#x232A;"
"&angr3;"				"&#x232A;"
"&angr4;"				"&#x232A;"
"&fll0;"				"&#x230A;"
"&fll1;"				"&#x230A;"
"&fll2;"				"&#x230A;"
"&fll3;"				"&#x230A;"
"&fll4;"				"&#x230A;"
"&flr0;"				"&#x230B;"
"&flr1;"				"&#x230B;"
"&flr2;"				"&#x230B;"
"&flr3;"				"&#x230B;"
"&flr4;"				"&#x230B;"
"&ceill0;"				"&#x2308;"
"&ceill1;"				"&#x2308;"
"&ceill2;"				"&#x2308;"
"&ceill3;"				"&#x2308;"
"&ceill4;"				"&#x2308;"
"&ceilr0;"				"&#x2309;"
"&ceilr1;"				"&#x2309;"
"&ceilr2;"				"&#x2309;"
"&ceilr3;"				"&#x2309;"
"&ceilr4;"				"&#x2309;"
"&solm0;"				"&#x002F;"
"&solm1;"				"&#x002F;"
"&solm2;"				"&#x002F;"
"&solm3;"				"&#x002F;"
"&solm4;"				"&#x002F;"
"&bsolm0;"				"&#x005C;"
"&bsolm1;"				"&#x005C;"
"&bsolm2;"				"&#x005C;"
"&bsolm3;"				"&#x005C;"
"&bsolm4;"				"&#x005C;"
"&vbm0;"				"&#x007C;"
"&vbm1;"				"&#x007C;"
"&vbm2;"				"&#x007C;"
"&vbm3;"				"&#x007C;"
"&vbm4;"				"&#x007C;"
"&dvbm0;"				"&#x2016;"
"&dvbm1;"				"&#x2016;"
"&dvbm2;"				"&#x2016;"
"&dvbm3;"				"&#x2016;"
"&dvbm4;"				"&#x2016;"
"&sqbl0;"				"&#x005B;" 
"&sqbl1;"				"&#x005B;"
"&sqbl2;"				"&#x005B;"
"&sqbl3;"				"&#x005B;"
"&sqbl4;"				"&#x005B;"
"&sqbr0;"				"&#x005D;"
"&sqbr1;"				"&#x005D;"
"&sqbr2;"				"&#x005D;"
"&sqbr3;"				"&#x005D;"
"&sqbr4;"				"&#x005D;"
"&cubl0;"				"&#x007B;"
"&cubl1;"				"&#x007B;"
"&cubl2;"				"&#x007B;"
"&cubl3;"				"&#x007B;"
"&cubl4;"				"&#x007B;"
"&cubr0;"				"&#x007D;"
"&cubr1;"				"&#x007D;"
"&cubr2;"				"&#x007D;"
"&cubr3;"				"&#x007D;"
"&cubr4;"				"&#x007D;"
"&d1;"				"&macr;"
"&d2;"				"&dot;"
"&d3;"				"&DoubleDot;"
"&d4;"				"&circ;"
"&d5;"				"&tilde;"
"&d9;"				"&caron;"
"&d11;"				"&breve;"
"&d12;"				"&acute;"
"&d13;"				"&grave;"
"&d14;"				"&circ;"
"&d15;"				"&Tilde;"
"&d16;"				"&rightarrow;"
"&d17;"				"&macr;"
